packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName
21.0,19.0,2043.0,32225.0,0.0,2.0,1.0,11.0,3.0,13.0,931.0,31229.0,12005.0,13338.0,213.0,1408.0,592.0,8448.0,202.0,2931.0,11999.0,13333.0,amazon-amazon-echo-dot-with-clock-gen3
22.0,17.0,5360.0,8622.0,2.0,3.0,3.0,6.0,8.0,12.0,4208.0,7730.0,7.0,9.0,206.0,1408.0,1408.0,1408.0,576.0,662.0,20.0,21.0,amazon-amazon-echo-dot-with-clock-gen3
17.0,14.0,3421.0,6094.0,2.0,2.0,3.0,6.0,6.0,8.0,2709.0,5522.0,52.0,48.0,421.0,1360.0,1360.0,1360.0,492.0,545.0,73.0,91.0,amazon-amazon-echo-dot-with-clock-gen3
15.0,14.0,1964.0,6536.0,2.0,1.0,3.0,6.0,6.0,7.0,1332.0,5964.0,53.0,57.0,416.0,1360.0,540.0,1360.0,199.0,504.0,69.0,79.0,amazon-amazon-echo-dot-with-clock-gen3
12.0,12.0,1378.0,6603.0,1.0,1.0,1.0,5.0,4.0,6.0,746.0,5971.0,22.0,21.0,222.0,1408.0,367.0,1408.0,124.0,513.0,59.0,57.0,amazon-amazon-echo-dot-with-clock-gen3
14.0,14.0,1924.0,6536.0,1.0,1.0,3.0,6.0,5.0,7.0,1332.0,5964.0,58.0,56.0,416.0,1360.0,540.0,1360.0,190.0,504.0,73.0,81.0,amazon-amazon-echo-dot-with-clock-gen3
16.0,13.0,2018.0,5918.0,2.0,1.0,2.0,4.0,5.0,5.0,1346.0,5386.0,142.0,159.0,409.0,1360.0,780.0,3098.0,290.0,1099.0,104.0,331.0,amazon-amazon-echo-dot-with-clock-gen3
13.0,9.0,1569.0,7329.0,1.0,1.0,1.0,3.0,4.0,4.0,1017.0,6957.0,79.0,96.0,202.0,5290.0,658.0,5290.0,240.0,2092.0,88.0,90.0,amazon-amazon-echo-dot-with-clock-gen3
13.0,11.0,1386.0,7536.0,1.0,1.0,1.0,5.0,4.0,6.0,834.0,7084.0,78.0,77.0,202.0,1360.0,475.0,2566.0,165.0,782.0,86.0,90.0,amazon-amazon-echo-dot-with-clock-gen3
14.0,12.0,1426.0,7605.0,1.0,1.0,1.0,5.0,4.0,7.0,834.0,7113.0,72.0,69.0,202.0,1360.0,475.0,2720.0,165.0,854.0,85.0,86.0,amazon-amazon-echo-dot-with-clock-gen3
