,packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName
2637,26.0,20.0,12474.0,5576.0,2.0,5.0,9.0,3.0,13.0,10.0,11402.0,4764.0,52.0,59.0,417.0,96.0,1360.0,2715.0,583.0,842.0,69.0,82.0,amazon-amazon-echo-dot-with-clock-gen3
2638,21.0,19.0,4392.0,5536.0,3.0,5.0,3.0,4.0,8.0,11.0,3520.0,4764.0,63.0,59.0,417.0,96.0,1360.0,1360.0,544.0,588.0,70.0,64.0,amazon-amazon-echo-dot-with-clock-gen3
2639,13.0,12.0,1750.0,7237.0,1.0,2.0,1.0,4.0,4.0,6.0,1066.0,6605.0,25.0,27.0,204.0,1402.0,705.0,2804.0,260.0,934.0,75.0,72.0,amazon-amazon-echo-dot-with-clock-gen3
2640,15.0,13.0,1985.0,6518.0,2.0,1.0,3.0,5.0,6.0,6.0,1353.0,5986.0,58.0,66.0,416.0,1360.0,561.0,2720.0,205.0,879.0,74.0,85.0,amazon-amazon-echo-dot-with-clock-gen3
2641,21.0,19.0,2808.0,5581.0,2.0,6.0,2.0,2.0,6.0,10.0,1924.0,4809.0,70.0,68.0,417.0,96.0,1162.0,4075.0,398.0,1201.0,77.0,86.0,amazon-amazon-echo-dot-with-clock-gen3
2642,22.0,18.0,5842.0,5496.0,2.0,5.0,4.0,3.0,9.0,10.0,4930.0,4764.0,63.0,67.0,417.0,96.0,1360.0,2715.0,584.0,842.0,78.0,88.0,amazon-amazon-echo-dot-with-clock-gen3
2643,27.0,22.0,13623.0,5656.0,2.0,5.0,10.0,3.0,14.0,10.0,12511.0,4764.0,48.0,51.0,417.0,96.0,1360.0,2715.0,583.0,842.0,65.0,78.0,amazon-amazon-echo-dot-with-clock-gen3
2644,13.0,14.0,1614.0,7357.0,1.0,2.0,1.0,5.0,4.0,7.0,930.0,6621.0,24.0,21.0,204.0,1402.0,569.0,2804.0,203.0,891.0,72.0,70.0,amazon-amazon-echo-dot-with-clock-gen3
2645,13.0,12.0,1714.0,7251.0,1.0,2.0,1.0,4.0,4.0,6.0,1030.0,6619.0,25.0,26.0,204.0,1402.0,669.0,2804.0,245.0,934.0,74.0,71.0,amazon-amazon-echo-dot-with-clock-gen3
2646,19.0,18.0,2808.0,5496.0,2.0,5.0,2.0,3.0,6.0,10.0,2016.0,4764.0,77.0,71.0,417.0,96.0,1254.0,2715.0,430.0,842.0,81.0,86.0,amazon-amazon-echo-dot-with-clock-gen3
2647,112.0,162.0,16199.0,17187.0,66.0,66.0,15.0,7.0,85.0,81.0,11687.0,10695.0,15977.0,11015.0,214.0,1360.0,1360.0,1360.0,558.0,804.0,15938.0,10988.0,amazon-amazon-echo-dot-with-clock-gen3
2648,13.0,13.0,1694.0,7347.0,1.0,2.0,1.0,5.0,4.0,7.0,1010.0,6663.0,22.0,22.0,207.0,1402.0,646.0,2804.0,235.0,889.0,67.0,64.0,amazon-amazon-echo-dot-with-clock-gen3
2649,13.0,14.0,1634.0,7310.0,1.0,2.0,1.0,5.0,4.0,7.0,950.0,6574.0,28.0,25.0,204.0,1402.0,589.0,1402.0,211.0,577.0,73.0,71.0,amazon-amazon-echo-dot-with-clock-gen3
2650,21.0,19.0,4392.0,5536.0,3.0,5.0,3.0,3.0,8.0,10.0,3520.0,4764.0,63.0,60.0,417.0,96.0,1360.0,2715.0,544.0,842.0,71.0,81.0,amazon-amazon-echo-dot-with-clock-gen3
2651,14.0,13.0,1945.0,6518.0,1.0,1.0,3.0,5.0,5.0,6.0,1353.0,5986.0,57.0,58.0,416.0,1360.0,561.0,2720.0,196.0,879.0,73.0,76.0,amazon-amazon-echo-dot-with-clock-gen3
2652,19.0,18.0,2716.0,5496.0,2.0,5.0,2.0,3.0,6.0,10.0,1924.0,4764.0,73.0,66.0,417.0,96.0,1162.0,2715.0,398.0,842.0,78.0,84.0,amazon-amazon-echo-dot-with-clock-gen3
2653,26.0,20.0,12549.0,5576.0,2.0,5.0,9.0,3.0,13.0,10.0,11477.0,4764.0,49.0,55.0,417.0,96.0,1360.0,2715.0,583.0,842.0,64.0,75.0,amazon-amazon-echo-dot-with-clock-gen3
2654,29.0,22.0,15926.0,5656.0,2.0,5.0,12.0,3.0,16.0,10.0,14734.0,4764.0,46.0,53.0,417.0,96.0,1360.0,2715.0,584.0,842.0,68.0,74.0,amazon-amazon-echo-dot-with-clock-gen3
2655,24.0,20.0,9206.0,5576.0,2.0,5.0,7.0,4.0,11.0,11.0,8214.0,4764.0,55.0,57.0,417.0,96.0,1360.0,1360.0,569.0,588.0,69.0,73.0,amazon-amazon-echo-dot-with-clock-gen3
2656,13.0,14.0,1614.0,7357.0,1.0,2.0,1.0,5.0,4.0,7.0,930.0,6621.0,23.0,21.0,204.0,1402.0,569.0,2804.0,203.0,891.0,69.0,67.0,amazon-amazon-echo-dot-with-clock-gen3
2657,15.0,13.0,2232.0,6081.0,2.0,1.0,3.0,5.0,6.0,6.0,1600.0,5549.0,52.0,61.0,428.0,1360.0,608.0,2720.0,232.0,895.0,65.0,80.0,amazon-amazon-echo-dot-with-clock-gen3
2658,13.0,13.0,1750.0,7289.0,1.0,2.0,1.0,4.0,4.0,6.0,1066.0,6605.0,24.0,23.0,204.0,1402.0,705.0,2804.0,260.0,934.0,71.0,69.0,amazon-amazon-echo-dot-with-clock-gen3
