packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName,flowEndMilliseconds
12.0,12.0,1076.0,1953.0,0.0,2.0,0.0,3.0,4.0,8.0,596.0,1473.0,550.0,466.0,149.0,319.0,149.0,319.0,0.0,113.0,884.0,558.0,amazon-amazon-echo-dot-with-clock-gen3,1605097099.776
20.0,20.0,3287.0,11313.0,2.0,1.0,3.0,9.0,7.0,10.0,2443.0,10501.0,115.0,106.0,407.0,1360.0,1360.0,2720.0,435.0,719.0,98.0,103.0,amazon-amazon-echo-dot-with-clock-gen3,1605049739.308
13.0,14.0,1628.0,7370.0,1.0,2.0,1.0,5.0,4.0,7.0,944.0,6634.0,23.0,21.0,207.0,1402.0,580.0,1402.0,208.0,580.0,67.0,65.0,amazon-amazon-echo-dot-with-clock-gen3,1605049739.563
27.0,24.0,1990.0,37815.0,1.0,4.0,2.0,15.0,4.0,20.0,842.0,36843.0,4.0,4.0,239.0,96.0,446.0,7070.0,154.0,1345.0,5.0,14.0,amazon-amazon-echo-dot-with-clock-gen3,1605049739.705
13.0,12.0,1656.0,7240.0,1.0,2.0,1.0,4.0,4.0,6.0,972.0,6608.0,27.0,28.0,204.0,1402.0,611.0,2804.0,221.0,934.0,79.0,76.0,amazon-amazon-echo-dot-with-clock-gen3,1605049740.597
13.0,13.0,1550.0,7276.0,1.0,2.0,1.0,5.0,4.0,7.0,866.0,6592.0,26.0,25.0,204.0,1402.0,505.0,1402.0,177.0,578.0,77.0,75.0,amazon-amazon-echo-dot-with-clock-gen3,1605049740.605
18.0,15.0,3382.0,10501.0,2.0,1.0,3.0,7.0,6.0,8.0,2618.0,9889.0,75.0,79.0,415.0,1360.0,1360.0,2503.0,475.0,711.0,85.0,94.0,amazon-amazon-echo-dot-with-clock-gen3,1605049740.606
17.0,16.0,2298.0,7956.0,2.0,1.0,3.0,7.0,6.0,8.0,1574.0,7304.0,85.0,79.0,419.0,1360.0,694.0,2720.0,240.0,790.0,88.0,98.0,amazon-amazon-echo-dot-with-clock-gen3,1605049741.674
17.0,11.0,3325.0,5918.0,2.0,1.0,3.0,3.0,7.0,4.0,2613.0,5466.0,94.0,129.0,412.0,4452.0,1360.0,4452.0,435.0,1791.0,97.0,105.0,amazon-amazon-echo-dot-with-clock-gen3,1605049744.728
2297.0,1115.0,99653.0,5806005.0,1.0,5.0,1.0,1104.0,4.0,1110.0,809.0,5761393.0,1.0,3.0,221.0,96.0,431.0,65044.0,148.0,4691.0,82.0,77.0,amazon-amazon-echo-dot-with-clock-gen3,1605049744.964
18.0,15.0,3382.0,10501.0,2.0,1.0,3.0,6.0,6.0,7.0,2618.0,9889.0,74.0,79.0,415.0,2720.0,1360.0,2720.0,475.0,926.0,84.0,91.0,amazon-amazon-echo-dot-with-clock-gen3,1605049746.871
16.0,16.0,1926.0,7526.0,2.0,1.0,3.0,5.0,6.0,6.0,1254.0,6874.0,72.0,63.0,410.0,1360.0,414.0,2720.0,163.0,852.0,66.0,78.0,amazon-amazon-echo-dot-with-clock-gen3,1605049747.18
16.0,16.0,1873.0,7526.0,2.0,1.0,3.0,5.0,6.0,6.0,1201.0,6874.0,80.0,70.0,410.0,1360.0,410.0,2556.0,153.0,807.0,74.0,83.0,amazon-amazon-echo-dot-with-clock-gen3,1605049748.262
590.0,533.0,25254.0,1288547.0,1.0,5.0,1.0,523.0,4.0,529.0,794.0,1267215.0,14.0,15.0,221.0,96.0,416.0,12726.0,142.0,1935.0,81.0,95.0,amazon-amazon-echo-dot-with-clock-gen3,1605049749.062
16.0,15.0,1823.0,7486.0,2.0,1.0,3.0,5.0,6.0,6.0,1151.0,6874.0,72.0,68.0,410.0,1360.0,410.0,2720.0,145.0,852.0,65.0,79.0,amazon-amazon-echo-dot-with-clock-gen3,1605049749.211
13.0,13.0,1626.0,7296.0,1.0,2.0,1.0,5.0,4.0,7.0,942.0,6612.0,27.0,26.0,204.0,1402.0,581.0,1402.0,208.0,579.0,77.0,75.0,amazon-amazon-echo-dot-with-clock-gen3,1605049749.702
14.0,10.0,1776.0,7760.0,1.0,1.0,1.0,5.0,4.0,6.0,1184.0,7348.0,65.0,76.0,202.0,1360.0,825.0,2570.0,311.0,753.0,72.0,78.0,amazon-amazon-echo-dot-with-clock-gen3,1605049750.749
14.0,10.0,1777.0,7527.0,1.0,1.0,1.0,5.0,4.0,6.0,1185.0,7115.0,67.0,77.0,202.0,1360.0,826.0,2720.0,311.0,822.0,75.0,80.0,amazon-amazon-echo-dot-with-clock-gen3,1605049751.498
298.0,152.0,12773.0,675388.0,1.0,5.0,1.0,142.0,4.0,148.0,821.0,669296.0,7.0,12.0,221.0,96.0,443.0,25452.0,152.0,4025.0,76.0,72.0,amazon-amazon-echo-dot-with-clock-gen3,1605049751.81
15.0,16.0,1900.0,6511.0,2.0,1.0,2.0,5.0,5.0,6.0,1268.0,5859.0,96.0,77.0,415.0,1360.0,696.0,2720.0,262.0,890.0,96.0,102.0,amazon-amazon-echo-dot-with-clock-gen3,1605049763.95
18.0,16.0,2827.0,8333.0,2.0,1.0,3.0,7.0,6.0,8.0,2063.0,7681.0,92.0,91.0,423.0,1360.0,792.0,2720.0,311.0,811.0,98.0,114.0,amazon-amazon-echo-dot-with-clock-gen3,1605049764.162
16.0,16.0,2127.0,5951.0,2.0,1.0,2.0,5.0,6.0,6.0,1455.0,5299.0,95.0,83.0,415.0,1360.0,693.0,2720.0,239.0,915.0,91.0,94.0,amazon-amazon-echo-dot-with-clock-gen3,1605049765.259
33.0,32.0,1986.0,22238.0,1.0,5.0,1.0,17.0,4.0,25.0,634.0,20946.0,118.0,117.0,213.0,96.0,264.0,2539.0,88.0,668.0,98.0,110.0,amazon-amazon-echo-dot-with-clock-gen3,1605050006.656
26.0,23.0,1706.0,11532.0,1.0,6.0,1.0,10.0,4.0,18.0,634.0,10600.0,2933.0,2853.0,213.0,96.0,264.0,1360.0,88.0,558.0,2892.0,2813.0,amazon-amazon-echo-dot-with-clock-gen3,1605050081.836
80.0,57.0,3878.0,80072.0,1.0,7.0,1.0,42.0,4.0,51.0,634.0,77780.0,928.0,1140.0,213.0,96.0,264.0,8160.0,88.0,1227.0,889.0,1101.0,amazon-amazon-echo-dot-with-clock-gen3,1605050081.842
569.0,1835.0,30305.0,3517943.0,1.0,2.0,1.0,1797.0,4.0,1800.0,709.0,3422515.0,258.0,74.0,214.0,1402.0,338.0,14020.0,113.0,1170.0,251.0,68.0,amazon-amazon-echo-dot-with-clock-gen3,1605050149.312
35.0,32.0,2762.0,71359.0,0.0,2.0,1.0,25.0,3.0,27.0,934.0,69687.0,7062.0,7744.0,213.0,1402.0,595.0,7010.0,203.0,1863.0,7052.0,7736.0,amazon-amazon-echo-dot-with-clock-gen3,1605050388.51
22.0,20.0,6291.0,5576.0,2.0,5.0,5.0,4.0,9.0,11.0,5379.0,4764.0,62.0,59.0,423.0,96.0,1360.0,1360.0,561.0,588.0,74.0,73.0,amazon-amazon-echo-dot-with-clock-gen3,1605050782.732
29.0,21.0,16321.0,5616.0,2.0,5.0,12.0,3.0,16.0,10.0,15129.0,4764.0,50.0,60.0,423.0,96.0,1360.0,2715.0,585.0,842.0,79.0,90.0,amazon-amazon-echo-dot-with-clock-gen3,1605050783.96
