packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName,flowEndMilliseconds
138.0,81.0,8975.0,8702.0,62.0,61.0,0.0,8.0,69.0,69.0,3455.0,5462.0,13138.0,22499.0,46.0,46.0,143.0,336.0,9.0,85.0,14977.0,10203.0,amazon-amazon-echo-dot-with-clock-gen3,1604500992.894
2.0,1.0,126.0,86.0,1.0,1.0,0.0,0.0,1.0,1.0,46.0,46.0,136.0,0.0,46.0,46.0,46.0,46.0,0.0,0.0,0.0,0.0,amazon-amazon-echo-dot-with-clock-gen3,1604612348.189
133.0,78.0,8594.0,7860.0,61.0,60.0,0.0,6.0,67.0,66.0,3274.0,4740.0,13636.0,22987.0,46.0,46.0,78.0,330.0,9.0,85.0,14923.0,11708.0,amazon-amazon-echo-dot-with-clock-gen3,1604614256.553
21.0,18.0,3351.0,11353.0,2.0,1.0,3.0,8.0,7.0,9.0,2443.0,10621.0,102.0,110.0,407.0,1360.0,1360.0,3136.0,435.0,824.0,91.0,100.0,amazon-amazon-echo-dot-with-clock-gen3,1604328282.387
13.0,14.0,1628.0,7399.0,1.0,2.0,1.0,5.0,4.0,7.0,944.0,6663.0,23.0,21.0,207.0,1408.0,580.0,2816.0,208.0,893.0,66.0,64.0,amazon-amazon-echo-dot-with-clock-gen3,1604328282.663
32.0,26.0,2166.0,33710.0,1.0,4.0,2.0,17.0,4.0,22.0,842.0,32658.0,4.0,4.0,239.0,96.0,446.0,7100.0,154.0,1160.0,4.0,14.0,amazon-amazon-echo-dot-with-clock-gen3,1604328282.822
13.0,13.0,1656.0,7292.0,1.0,2.0,1.0,4.0,4.0,6.0,972.0,6608.0,23.0,23.0,204.0,1408.0,611.0,2816.0,221.0,938.0,69.0,67.0,amazon-amazon-echo-dot-with-clock-gen3,1604328283.632
13.0,13.0,1550.0,7276.0,1.0,2.0,1.0,4.0,4.0,6.0,866.0,6592.0,24.0,24.0,204.0,1408.0,505.0,2816.0,177.0,938.0,70.0,69.0,amazon-amazon-echo-dot-with-clock-gen3,1604328283.653
17.0,14.0,3362.0,10503.0,2.0,1.0,3.0,6.0,6.0,7.0,2638.0,9931.0,83.0,87.0,415.0,1360.0,1360.0,3099.0,477.0,1004.0,91.0,95.0,amazon-amazon-echo-dot-with-clock-gen3,1604328283.699
18.0,16.0,2338.0,7956.0,2.0,1.0,3.0,6.0,6.0,7.0,1574.0,7304.0,88.0,87.0,419.0,1360.0,694.0,3117.0,240.0,941.0,96.0,107.0,amazon-amazon-echo-dot-with-clock-gen3,1604328284.897
606.0,246.0,25282.0,1197912.0,1.0,5.0,1.0,236.0,4.0,242.0,794.0,1188060.0,3.0,8.0,221.0,96.0,416.0,36920.0,142.0,4407.0,84.0,79.0,amazon-amazon-echo-dot-with-clock-gen3,1604328285.884
16.0,12.0,3305.0,5958.0,2.0,1.0,3.0,4.0,6.0,5.0,2633.0,5466.0,92.0,105.0,412.0,1360.0,1360.0,3092.0,477.0,1088.0,105.0,111.0,amazon-amazon-echo-dot-with-clock-gen3,1604328287.728
2588.0,1177.0,105249.0,5801026.0,1.0,5.0,1.0,1165.0,4.0,1171.0,809.0,5753934.0,1.0,3.0,221.0,96.0,431.0,51120.0,148.0,4496.0,85.0,86.0,amazon-amazon-echo-dot-with-clock-gen3,1604328288.444
20.0,17.0,3542.0,10623.0,2.0,1.0,3.0,8.0,6.0,9.0,2638.0,9931.0,73.0,75.0,415.0,1360.0,1360.0,2720.0,477.0,743.0,93.0,102.0,amazon-amazon-echo-dot-with-clock-gen3,1604328289.811
16.0,15.0,1926.0,7486.0,2.0,1.0,3.0,4.0,6.0,5.0,1254.0,6874.0,72.0,68.0,410.0,1360.0,414.0,3916.0,163.0,1363.0,68.0,80.0,amazon-amazon-echo-dot-with-clock-gen3,1604328289.978
16.0,15.0,1873.0,7486.0,2.0,1.0,3.0,4.0,6.0,5.0,1201.0,6874.0,70.0,66.0,410.0,1360.0,410.0,3916.0,153.0,1363.0,65.0,79.0,amazon-amazon-echo-dot-with-clock-gen3,1604328290.896
16.0,14.0,1823.0,7446.0,2.0,1.0,3.0,4.0,6.0,5.0,1151.0,6874.0,69.0,70.0,410.0,1360.0,410.0,3916.0,145.0,1363.0,64.0,75.0,amazon-amazon-echo-dot-with-clock-gen3,1604328291.81
13.0,12.0,1626.0,7244.0,1.0,2.0,1.0,4.0,4.0,6.0,942.0,6612.0,23.0,25.0,204.0,1408.0,581.0,2816.0,208.0,938.0,71.0,68.0,amazon-amazon-echo-dot-with-clock-gen3,1604328292.486
14.0,11.0,1788.0,7800.0,1.0,1.0,1.0,6.0,4.0,7.0,1184.0,7348.0,70.0,74.0,202.0,1360.0,825.0,1360.0,311.0,447.0,80.0,86.0,amazon-amazon-echo-dot-with-clock-gen3,1604328293.62
14.0,8.0,1777.0,7447.0,1.0,1.0,1.0,3.0,4.0,4.0,1185.0,7115.0,75.0,116.0,202.0,5290.0,826.0,5290.0,311.0,2068.0,86.0,93.0,amazon-amazon-echo-dot-with-clock-gen3,1604328294.46
363.0,140.0,15469.0,674937.0,1.0,5.0,1.0,130.0,4.0,136.0,821.0,669325.0,5.0,13.0,221.0,96.0,443.0,49700.0,152.0,4504.0,79.0,72.0,amazon-amazon-echo-dot-with-clock-gen3,1604328294.607
