packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName,flowEndMilliseconds
86.0,53.0,5531.0,5025.0,39.0,38.0,0.0,4.0,43.0,42.0,2091.0,2905.0,12989.0,21230.0,46.0,46.0,78.0,293.0,9.0,74.0,13715.0,12747.0,amazon-amazon-echo-dot-with-clock-gen3,1603552755.216
144.0,85.0,10875.0,8921.0,64.0,62.0,3.0,9.0,73.0,71.0,5115.0,5521.0,12587.0,21071.0,46.0,46.0,1062.0,311.0,331.0,144.0,14266.0,16725.0,amazon-amazon-echo-dot-with-clock-gen3,1603815294.022
132.0,153.0,75092.0,40195.0,16.0,18.0,42.0,36.0,66.0,100.0,69812.0,34063.0,2520.0,2171.0,46.0,46.0,6800.0,1360.0,898.0,596.0,6709.0,2665.0,amazon-amazon-echo-dot-with-clock-gen3,1604585158.127
132.0,78.0,8508.0,7626.0,60.0,60.0,0.0,6.0,66.0,66.0,3228.0,4506.0,13512.0,22987.0,46.0,46.0,78.0,291.0,9.0,73.0,14945.0,9630.0,amazon-amazon-echo-dot-with-clock-gen3,1604587951.522
26.0,20.0,12549.0,5576.0,2.0,5.0,9.0,3.0,13.0,10.0,11477.0,4764.0,51.0,58.0,417.0,96.0,1360.0,2715.0,583.0,842.0,76.0,82.0,amazon-amazon-echo-dot-with-clock-gen3,1603551726.549
13.0,13.0,1692.0,7303.0,1.0,2.0,1.0,4.0,4.0,6.0,1008.0,6619.0,22.0,22.0,204.0,1408.0,647.0,2816.0,236.0,938.0,70.0,68.0,amazon-amazon-echo-dot-with-clock-gen3,1603551906.55
13.0,13.0,1740.0,7289.0,1.0,2.0,1.0,5.0,4.0,7.0,1044.0,6605.0,23.0,23.0,204.0,1408.0,683.0,1408.0,251.0,580.0,73.0,70.0,amazon-amazon-echo-dot-with-clock-gen3,1603552262.64
27.0,20.0,13195.0,5576.0,2.0,5.0,10.0,3.0,14.0,10.0,12083.0,4764.0,45.0,53.0,417.0,96.0,1360.0,2715.0,584.0,842.0,64.0,75.0,amazon-amazon-echo-dot-with-clock-gen3,1603552326.444
27.0,21.0,12988.0,5616.0,2.0,5.0,10.0,3.0,14.0,10.0,11876.0,4764.0,51.0,57.0,417.0,96.0,1360.0,2715.0,585.0,842.0,71.0,84.0,amazon-amazon-echo-dot-with-clock-gen3,1603552327.621
28.0,23.0,14572.0,5696.0,2.0,5.0,11.0,3.0,15.0,10.0,13420.0,4764.0,46.0,48.0,417.0,96.0,1360.0,2715.0,583.0,842.0,64.0,70.0,amazon-amazon-echo-dot-with-clock-gen3,1603552328.7
29.0,24.0,16004.0,5736.0,2.0,5.0,12.0,4.0,16.0,11.0,14812.0,4764.0,43.0,45.0,417.0,96.0,1360.0,1360.0,584.0,588.0,65.0,74.0,amazon-amazon-echo-dot-with-clock-gen3,1603552329.736
13.0,14.0,1672.0,7370.0,1.0,2.0,1.0,5.0,4.0,7.0,988.0,6634.0,29.0,26.0,207.0,1408.0,624.0,1408.0,226.0,582.0,69.0,67.0,amazon-amazon-echo-dot-with-clock-gen3,1603552561.063
19.0,18.0,2718.0,5496.0,2.0,5.0,2.0,3.0,6.0,10.0,1926.0,4764.0,82.0,74.0,417.0,96.0,1164.0,2720.0,398.0,843.0,87.0,93.0,amazon-amazon-echo-dot-with-clock-gen3,1603552866.753
13.0,12.0,1592.0,7224.0,1.0,2.0,1.0,4.0,4.0,6.0,908.0,6592.0,23.0,24.0,204.0,1408.0,547.0,2816.0,194.0,938.0,70.0,68.0,amazon-amazon-echo-dot-with-clock-gen3,1603552896.411
21.0,20.0,4392.0,5576.0,3.0,5.0,3.0,3.0,8.0,10.0,3520.0,4764.0,65.0,59.0,417.0,96.0,1360.0,2715.0,544.0,842.0,76.0,79.0,amazon-amazon-echo-dot-with-clock-gen3,1603553106.565
40.0,20.0,2740.0,1660.0,20.0,20.0,0.0,0.0,20.0,20.0,660.0,620.0,44338.0,91000.0,33.0,31.0,33.0,31.0,0.0,0.0,45337.0,12.0,amazon-amazon-echo-dot-with-clock-gen3,1603553433.136
15.0,12.0,1964.0,6456.0,2.0,1.0,3.0,4.0,6.0,5.0,1332.0,5964.0,65.0,81.0,416.0,1360.0,540.0,3151.0,199.0,1076.0,72.0,83.0,amazon-amazon-echo-dot-with-clock-gen3,1603554281.323
22.0,19.0,5842.0,5536.0,2.0,5.0,4.0,3.0,9.0,10.0,4930.0,4764.0,60.0,61.0,417.0,96.0,1360.0,2715.0,584.0,842.0,66.0,89.0,amazon-amazon-echo-dot-with-clock-gen3,1603554486.552
105.0,155.0,14991.0,16907.0,64.0,66.0,14.0,4.0,81.0,78.0,10759.0,10695.0,17072.0,11529.0,214.0,1360.0,1360.0,4662.0,647.0,1490.0,17030.0,11485.0,amazon-amazon-echo-dot-with-clock-gen3,1603554530.868
19.0,18.0,2718.0,5496.0,2.0,5.0,2.0,3.0,6.0,10.0,1926.0,4764.0,76.0,70.0,417.0,96.0,1164.0,2715.0,398.0,842.0,79.0,87.0,amazon-amazon-echo-dot-with-clock-gen3,1603554606.645
13.0,13.0,1692.0,7303.0,1.0,2.0,1.0,4.0,4.0,6.0,1008.0,6619.0,24.0,24.0,204.0,2816.0,647.0,2816.0,236.0,938.0,76.0,75.0,amazon-amazon-echo-dot-with-clock-gen3,1603554615.593
27.0,21.0,12944.0,5616.0,2.0,5.0,9.0,4.0,14.0,11.0,11832.0,4764.0,47.0,53.0,417.0,96.0,1360.0,1360.0,585.0,588.0,71.0,68.0,amazon-amazon-echo-dot-with-clock-gen3,1603554786.5
27.0,22.0,13596.0,5656.0,2.0,5.0,10.0,3.0,14.0,10.0,12484.0,4764.0,53.0,57.0,417.0,96.0,1360.0,2715.0,583.0,842.0,70.0,86.0,amazon-amazon-echo-dot-with-clock-gen3,1603554787.723
29.0,24.0,13304.0,5781.0,2.0,6.0,10.0,4.0,14.0,12.0,12100.0,4809.0,44.0,45.0,417.0,96.0,1360.0,1360.0,584.0,597.0,63.0,66.0,amazon-amazon-echo-dot-with-clock-gen3,1603554788.781
27.0,22.0,13468.0,5656.0,2.0,5.0,10.0,4.0,14.0,11.0,12356.0,4764.0,49.0,53.0,417.0,96.0,1360.0,1360.0,583.0,588.0,70.0,81.0,amazon-amazon-echo-dot-with-clock-gen3,1603554789.873
13.0,13.0,1728.0,7289.0,1.0,2.0,1.0,4.0,4.0,6.0,1044.0,6605.0,22.0,22.0,204.0,1408.0,683.0,2816.0,251.0,938.0,70.0,69.0,amazon-amazon-echo-dot-with-clock-gen3,1603555004.39
13.0,13.0,1672.0,7318.0,1.0,2.0,1.0,4.0,4.0,6.0,988.0,6634.0,23.0,22.0,207.0,1408.0,624.0,2816.0,226.0,938.0,71.0,70.0,amazon-amazon-echo-dot-with-clock-gen3,1603555337.96
27.0,20.0,13671.0,5576.0,2.0,5.0,10.0,3.0,14.0,10.0,12559.0,4764.0,50.0,59.0,417.0,96.0,1360.0,2715.0,583.0,842.0,69.0,80.0,amazon-amazon-echo-dot-with-clock-gen3,1603555866.564
21.0,18.0,4392.0,5496.0,3.0,5.0,3.0,4.0,8.0,11.0,3520.0,4764.0,67.0,68.0,417.0,96.0,1360.0,1360.0,544.0,588.0,78.0,85.0,amazon-amazon-echo-dot-with-clock-gen3,1603555867.732
20.0,18.0,3629.0,8155.0,3.0,1.0,3.0,7.0,7.0,8.0,2761.0,7423.0,80.0,79.0,417.0,1360.0,1360.0,2582.0,470.0,808.0,90.0,107.0,amazon-amazon-echo-dot-with-clock-gen3,1603556123.976
18.0,16.0,3513.0,7844.0,3.0,1.0,3.0,5.0,7.0,6.0,2761.0,7192.0,86.0,86.0,417.0,1360.0,1360.0,3942.0,470.0,1320.0,94.0,104.0,amazon-amazon-echo-dot-with-clock-gen3,1603556124.891
