,packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName
11899,24.0,21.0,2351.0,6732.0,1.0,9.0,1.0,5.0,4.0,16.0,1275.0,5880.0,13084.0,456.0,190.0,96.0,928.0,1928.0,356.0,741.0,13044.0,416.0,amazon-fire-tv-stick-4k
11900,23.0,18.0,8003.0,5522.0,1.0,6.0,6.0,3.0,8.0,11.0,7051.0,4790.0,13678.0,509.0,227.0,96.0,1460.0,2567.0,618.0,814.0,13633.0,471.0,amazon-fire-tv-stick-4k
11901,13.0,11.0,3117.0,5590.0,0.0,1.0,2.0,4.0,4.0,6.0,2565.0,5138.0,73.0,16754.0,218.0,1460.0,1460.0,1547.0,531.0,652.0,92.0,50038.0,amazon-fire-tv-stick-4k
11902,22.0,22.0,2195.0,6758.0,1.0,9.0,1.0,5.0,4.0,16.0,1235.0,5866.0,14318.0,482.0,190.0,96.0,888.0,1928.0,339.0,735.0,14283.0,465.0,amazon-fire-tv-stick-4k
11903,12.0,12.0,1768.0,9195.0,0.0,1.0,1.0,7.0,3.0,8.0,1244.0,8703.0,76.0,16043.0,183.0,1460.0,935.0,2368.0,368.0,663.0,69.0,15973.0,amazon-fire-tv-stick-4k
11904,11.0,11.0,1540.0,7401.0,0.0,1.0,1.0,6.0,3.0,7.0,1068.0,6949.0,75.0,7148.0,177.0,1460.0,765.0,1460.0,289.0,521.0,79.0,21265.0,amazon-fire-tv-stick-4k
11905,25.0,22.0,8131.0,5775.0,1.0,9.0,6.0,3.0,8.0,14.0,7051.0,4883.0,12541.0,468.0,227.0,96.0,1460.0,2567.0,618.0,823.0,12493.0,427.0,amazon-fire-tv-stick-4k
11906,25.0,22.0,8131.0,5806.0,1.0,10.0,6.0,3.0,8.0,15.0,7051.0,4914.0,12538.0,549.0,227.0,96.0,1460.0,2567.0,618.0,826.0,12489.0,507.0,amazon-fire-tv-stick-4k
11907,11.0,10.0,1729.0,7361.0,0.0,1.0,1.0,5.0,3.0,6.0,1257.0,6949.0,67.0,15832.0,209.0,1460.0,922.0,2521.0,357.0,801.0,81.0,44605.0,amazon-fire-tv-stick-4k
11908,12.0,12.0,3045.0,5630.0,0.0,1.0,2.0,4.0,4.0,6.0,2533.0,5138.0,84.0,9495.0,186.0,1460.0,1460.0,1547.0,537.0,652.0,95.0,9424.0,amazon-fire-tv-stick-4k
11909,26.0,23.0,8178.0,5722.0,1.0,6.0,6.0,4.0,8.0,12.0,7058.0,4790.0,12034.0,613.0,227.0,96.0,1460.0,1460.0,618.0,589.0,11989.0,574.0,amazon-fire-tv-stick-4k
11910,15.0,13.0,3425.0,5978.0,0.0,1.0,2.0,5.0,5.0,7.0,2793.0,5446.0,61.0,69.0,155.0,1460.0,1460.0,1460.0,545.0,611.0,89.0,92.0,amazon-fire-tv-stick-4k
11911,11.0,11.0,1716.0,8089.0,0.0,1.0,1.0,6.0,3.0,7.0,1244.0,7637.0,75.0,7752.0,183.0,1460.0,935.0,1460.0,368.0,484.0,76.0,23073.0,amazon-fire-tv-stick-4k
11912,16.0,15.0,3723.0,6527.0,0.0,1.0,3.0,5.0,5.0,9.0,3039.0,5915.0,78.0,76.0,187.0,1460.0,1460.0,1460.0,512.0,582.0,92.0,104.0,amazon-fire-tv-stick-4k
11913,16.0,14.0,3715.0,6487.0,0.0,1.0,3.0,5.0,5.0,9.0,3031.0,5915.0,70.0,71.0,187.0,1460.0,1460.0,1460.0,511.0,582.0,93.0,91.0,amazon-fire-tv-stick-4k
11914,22.0,20.0,2046.0,6599.0,1.0,6.0,1.0,6.0,4.0,14.0,1122.0,5787.0,14322.0,453.0,190.0,96.0,775.0,1460.0,291.0,634.0,14285.0,439.0,amazon-fire-tv-stick-4k
